repo,cve,type,version
linux,CVE-2023-4387,vul,v5.15
linux,CVE-2023-4732,vul,v5.9
linux,CVE-2023-4921,vul,v3.11
linux,CVE-2023-4921,vul,v3.8
linux,CVE-2023-5197,fix,v6.13
linux,CVE-2023-5197,vul,v5.18
linux,CVE-2023-5197,vul,v5.9
linux,CVE-2023-52434,vul,v6.4
linux,CVE-2023-52434,vul,v6.6
linux,CVE-2023-52439,vul,v5.1
linux,CVE-2023-52454,fix,v6.9
linux,CVE-2023-52456,vul,v5.9
linux,CVE-2023-52457,vul,v6.5
linux,CVE-2023-52477,vul,v4.4
linux,CVE-2023-52491,vul,v6.2
linux,CVE-2023-52498,vul,v3.13
linux,CVE-2023-52507,vul,v3.5
linux,CVE-2023-52512,fix,v6.15
linux,CVE-2023-52512,fix,v6.6
linux,CVE-2023-52513,vul,v5.3
linux,CVE-2023-52513,vul,v5.9
linux,CVE-2023-52520,vul,v5.17
linux,CVE-2023-52522,vul,v3.19
linux,CVE-2023-52526,pre,v5.17
linux,CVE-2023-52526,vul,v6.1
linux,CVE-2023-52526,vul,v6.3
linux,CVE-2023-52529,vul,v5.16
linux,CVE-2023-52530,vul,v5.4
linux,CVE-2023-52573,fix,v6.6
linux,CVE-2023-52578,vul,v4.8
linux,CVE-2023-52588,vul,v5.6
linux,CVE-2023-52589,vul,v6.0
linux,CVE-2023-52590,fix,v6.17
linux,CVE-2023-52590,fix,v6.8
linux,CVE-2023-52593,vul,v5.19
linux,CVE-2023-52593,vul,v6.0
linux,CVE-2023-52615,vul,v4.0
linux,CVE-2023-52617,vul,v4.12
linux,CVE-2023-52617,vul,v5.0
linux,CVE-2023-52622,vul,v4.15
linux,CVE-2023-52624,vul,v5.13
linux,CVE-2023-52629,fix,v6.10
linux,CVE-2023-52629,fix,v6.6
linux,CVE-2023-52630,vul,v5.19
linux,CVE-2023-5717,fix,v6.16
linux,CVE-2023-5717,vul,v4.17
linux,CVE-2023-5717,vul,v4.4
linux,CVE-2023-6039,vul,v5.17
linux,CVE-2023-6176,vul,v6.2
linux,CVE-2023-6622,vul,v5.11
linux,CVE-2023-6622,vul,v5.13
linux,CVE-2023-6915,vul,v4.19
linux,CVE-2023-6915,vul,v4.20
linux,CVE-2023-6931,vul,v4.3
linux,CVE-2023-6931,vul,v6.0
linux,CVE-2024-0443,vul,v6.2
linux,CVE-2024-0443,vul,v6.3
linux,CVE-2024-0582,vul,v6.4
linux,CVE-2024-0582,vul,v6.5
linux,CVE-2024-0607,vul,v5.6
linux,CVE-2024-1151,vul,v5.6
linux,CVE-2024-26582,vul,v6.3
linux,CVE-2024-26583,vul,v5.19
linux,CVE-2024-26588,fix,v6.15
linux,CVE-2024-26588,fix,v6.17
linux,CVE-2024-26588,vul,v6.1
linux,CVE-2024-26588,vul,v6.3
linux,CVE-2024-26594,fix,v6.13
linux,CVE-2024-26594,vul,v6.4
linux,CVE-2024-26594,vul,v6.5
linux,CVE-2024-26598,vul,v5.8
linux,CVE-2024-26598,vul,v5.9
linux,CVE-2024-26601,vul,v5.13
linux,CVE-2024-26603,vul,v5.16
linux,CVE-2024-26607,vul,v5.0
linux,CVE-2024-26607,vul,v5.18
linux,CVE-2024-26614,vul,v4.4
linux,CVE-2024-26614,vul,v5.14
linux,CVE-2024-26615,vul,v5.17
linux,CVE-2024-26620,vul,v6.0
linux,CVE-2024-26620,vul,v6.3
linux,CVE-2024-26629,vul,v5.19
linux,CVE-2024-26629,vul,v6.2
linux,CVE-2024-26649,vul,v6.7
linux,CVE-2024-26669,vul,v5.4
linux,CVE-2024-26685,fix,v6.11
linux,CVE-2024-26697,vul,v3.8
linux,CVE-2024-26704,vul,v5.1
linux,CVE-2024-26731,vul,v6.6
linux,CVE-2024-26764,vul,v5.0
linux,CVE-2024-26767,fix,v6.17
linux,CVE-2024-26767,fix,v6.8
linux,CVE-2024-26771,vul,v5.5
linux,CVE-2024-26774,vul,v6.0
linux,CVE-2024-26807,vul,v6.6
openjpeg,CVE-2020-15389,fix,v2.4.0
openjpeg,CVE-2020-15389,fix,v2.5.0
openjpeg,CVE-2020-27823,vul,v2.1.2
openjpeg,CVE-2020-27823,vul,v2.3.0
openjpeg,CVE-2020-27841,vul,v2.3.0
openjpeg,CVE-2021-29338,fix,v2.5.0
openjpeg,CVE-2021-29338,fix,v2.5.3
openjpeg,CVE-2021-29338,vul,v2.3.0
wireshark,CVE-2020-11647,vul,v2.2.0
wireshark,CVE-2020-17498,fix,v3.2.6
wireshark,CVE-2020-17498,vul,v3.2.2
wireshark,CVE-2020-25862,vul,v2.4.0
wireshark,CVE-2020-25862,vul,v2.9.0
wireshark,CVE-2020-25863,vul,v2.9.0
wireshark,CVE-2020-25866,vul,v3.2.4
wireshark,CVE-2020-26418,fix,v4.1.0
wireshark,CVE-2020-26418,vul,v3.2.4
wireshark,CVE-2020-26418,vul,v3.3.1
wireshark,CVE-2020-26420,pre,v2.1.0
wireshark,CVE-2020-26421,vul,v3.0.4
wireshark,CVE-2020-26575,vul,v2.9.0
wireshark,CVE-2020-26575,vul,v3.2.7
wireshark,CVE-2020-28030,vul,v2.5.0
wireshark,CVE-2020-28030,vul,v3.0.2
wireshark,CVE-2020-7045,fix,v3.2.0
wireshark,CVE-2020-7045,vul,v2.9.0
wireshark,CVE-2020-9429,vul,v3.2.0
wireshark,CVE-2021-22191,fix,v4.6.0
wireshark,CVE-2021-22191,vul,v2.0.7
wireshark,CVE-2021-22191,vul,v4.4.0
wireshark,CVE-2021-22207,vul,v2.0.8
wireshark,CVE-2021-22207,vul,v3.0.2
wireshark,CVE-2021-22235,vul,v3.2.14
wireshark,CVE-2021-22235,vul,v3.4.6
wireshark,CVE-2021-39925,vul,v3.4.4
wireshark,CVE-2021-39928,vul,v3.0.2
wireshark,CVE-2021-39928,vul,v3.4.2
wireshark,CVE-2021-4181,vul,v3.4.16
wireshark,CVE-2021-4181,vul,v3.4.9
wireshark,CVE-2021-4182,vul,v2.9.0
wireshark,CVE-2021-4182,vul,v3.0.2
wireshark,CVE-2021-4186,vul,v3.5.0
wireshark,CVE-2022-0581,vul,v1.10.8
wireshark,CVE-2024-24476,vul,v1.10.8
wireshark,CVE-2024-24476,vul,v2.2.0
wireshark,CVE-2024-24478,fix,v4.6.0
