repo,cve,type,version
linux,CVE-2021-4203,vul,v2.6.36
linux,CVE-2021-4203,vul,v4.10
ImageMagick,CVE-2021-4219,pre,7.0.9-18
ImageMagick,CVE-2021-4219,vul,7.0.10-33
ImageMagick,CVE-2021-4219,vul,7.1.0-1
linux,CVE-2021-42327,vul,v5.10
linux,CVE-2021-42327,vul,v5.13
linux,CVE-2021-44733,vul,v4.12
linux,CVE-2021-44733,vul,v5.4
linux,CVE-2021-44879,vul,v3.8
linux,CVE-2021-44879,vul,v4.9
linux,CVE-2021-45095,vul,v4.2
linux,CVE-2021-45402,pre,v5.3
linux,CVE-2021-45402,vul,v5.10
linux,CVE-2021-45469,vul,v3.13
linux,CVE-2021-45469,vul,v4.10
linux,CVE-2021-45485,vul,v3.19
linux,CVE-2021-45485,vul,v4.1
linux,CVE-2021-45486,vul,v3.16
linux,CVE-2021-45486,vul,v4.14
linux,CVE-2021-45868,vul,v2.6.30
linux,CVE-2021-45868,vul,v2.6.36
linux,CVE-2021-46283,vul,v5.7
linux,CVE-2021-46283,vul,v5.11
linux,CVE-2021-46906,vul,v2.6.22
linux,CVE-2021-46906,vul,v2.6.34
linux,CVE-2021-46913,vul,v5.7
linux,CVE-2021-46913,vul,v5.9
linux,CVE-2021-46915,vul,v4.13
linux,CVE-2021-46915,vul,v4.17
linux,CVE-2021-46924,vul,v3.16
linux,CVE-2021-46924,vul,v4.5
linux,CVE-2021-46928,vul,v2.6.12
linux,CVE-2021-46928,vul,v4.2
linux,CVE-2021-46931,vul,v5.9
linux,CVE-2021-46932,vul,v2.6.23
linux,CVE-2021-46932,vul,v2.6.28
linux,CVE-2021-46933,pre,v3.17
linux,CVE-2021-46933,vul,v4.0
linux,CVE-2021-46933,vul,v4.1
linux,CVE-2021-46935,vul,v4.14
linux,CVE-2021-46935,vul,v4.15
linux,CVE-2021-46961,vul,v5.1
linux,CVE-2021-46961,vul,v5.4
linux,CVE-2021-46963,vul,v5.5
linux,CVE-2021-46963,vul,v5.6
linux,CVE-2021-46971,vul,v5.4
linux,CVE-2021-46971,vul,v5.8
linux,CVE-2021-46972,pre,v5.7
linux,CVE-2021-46972,vul,v5.8
linux,CVE-2021-46972,vul,v5.10
linux,CVE-2021-46978,pre,v5.9
linux,CVE-2021-46978,vul,v5.11
linux,CVE-2021-46978,vul,v5.12
linux,CVE-2021-46982,vul,v5.6
linux,CVE-2021-46982,vul,v5.8
linux,CVE-2021-46991,vul,v4.17
linux,CVE-2021-46994,pre,v5.3
