vul_id,repo,fixed_commit_sha,tag,version,vuddy,movery,v1scan,fire,vulture,verdict
CVE-2022-3341,FFmpeg/FFmpeg,9cf652cef49d74afe3d454f27d49eb1a1394951e,vul,v0.5.1,FN,FN,FN,FN,FN,TP
CVE-2022-3341,FFmpeg/FFmpeg,9cf652cef49d74afe3d454f27d49eb1a1394951e,fix,n5.1,TN,TN,TN,TN,TN,TN
CVE-2022-3341,FFmpeg/FFmpeg,9cf652cef49d74afe3d454f27d49eb1a1394951e,fix,n5.1.2,TN,TN,TN,TN,TN,TN
CVE-2022-3964,FFmpeg/FFmpeg,92f9b28ed84a77138105475beba16c146bdaf984,vul,n5.1.5,FN,FN,FN,FN,FN,FN
CVE-2022-3964,FFmpeg/FFmpeg,92f9b28ed84a77138105475beba16c146bdaf984,vul,n4.4.2,FN,FN,FN,FN,FN,TP
CVE-2022-3964,FFmpeg/FFmpeg,92f9b28ed84a77138105475beba16c146bdaf984,fix,n7.1,TN,TN,TN,TN,TN,TN
CVE-2022-3964,FFmpeg/FFmpeg,92f9b28ed84a77138105475beba16c146bdaf984,fix,n8.0,TN,TN,TN,TN,TN,TN
CVE-2024-7055,FFmpeg/FFmpeg,3faadbe2a27e74ff5bb5f7904ec27bb1f5287dc8,pre,n4.2.3,TN,FP,TN,TN,TN,FP
CVE-2024-7055,FFmpeg/FFmpeg,3faadbe2a27e74ff5bb5f7904ec27bb1f5287dc8,vul,n4.3.7,FN,TP,FN,FN,FN,TP
CVE-2024-7055,FFmpeg/FFmpeg,3faadbe2a27e74ff5bb5f7904ec27bb1f5287dc8,vul,n5.1.6,FN,FN,FN,FN,FN,FN
CVE-2024-7055,FFmpeg/FFmpeg,3faadbe2a27e74ff5bb5f7904ec27bb1f5287dc8,fix,n7.1,TN,TN,TN,TN,TN,TN
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,vul,7.0.8-60,FN,FN,FN,TP,FN,TP
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,vul,7.0.9-23,FN,FN,TP,TP,FN,TP
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,fix,7.0.10-35,TN,TN,TN,TN,FP,TN
