project,cve,type,detected_version,vulnerability_paths
torvalds,CVE-2022-0494,vul,v5.13,./vul/testset/CVE-2022-0494##cc8f7fe1##blk-map.c_1_OLD.vul
torvalds,CVE-2022-1012,fix,v6.15,./vul/testset/CVE-2022-1012##b2d05756##inet6_hashtables.c_2_OLD.vul
torvalds,CVE-2022-1012,fix,v6.3,./vul/testset/CVE-2022-1012##b2d05756##inet_hashtables.c_3_OLD.vul
torvalds,CVE-2022-1012,vul,v3.9,./vul/testset/CVE-2022-1012##b2d05756##inet_hashtables.c_3_OLD.vul
torvalds,CVE-2022-1263,vul,v5.11,./vul/testset/CVE-2022-1263##5593473a##kvm_main.c_3_OLD.vul
torvalds,CVE-2022-1734,vul,v4.13,./vul/testset/CVE-2022-1734##d270453a##main.c_8_OLD.vul
torvalds,CVE-2022-1852,vul,v5.17,./vul/testset/CVE-2022-1852##fee060cd##x86.c_7_OLD.vul
torvalds,CVE-2022-1943,vul,v5.16,./vul/testset/CVE-2022-1943##c1ad35dd##namei.c_6_OLD.vul
torvalds,CVE-2022-20422,vul,v4.18,./vul/testset/CVE-2022-20422##af483947##armv8_deprecated.c_2_OLD.vul
torvalds,CVE-2022-20565,vul,v3.5,./vul/testset/CVE-2022-20565##bce1305c##hid-core.c_2_OLD.vul
torvalds,CVE-2022-21499,fix,v6.8,./vul/testset/CVE-2022-21499##eadb2f47##kdb_main.c_1_OLD.vul
torvalds,CVE-2022-21499,vul,v4.0,./vul/testset/CVE-2022-21499##eadb2f47##kdb_main.c_1_OLD.vul
torvalds,CVE-2022-22942,vul,v5.2,./vul/testset/CVE-2022-22942##a0f90c88##vmwgfx_kms.c_4_OLD.vul
torvalds,CVE-2022-23039,vul,v3.17,./vul/testset/CVE-2022-23039##d3b6372c##gntalloc.c_1_OLD.vul
torvalds,CVE-2022-26966,vul,v5.1,./vul/testset/CVE-2022-26966##e9da0b56##sr9700.c_1_OLD.vul
torvalds,CVE-2022-2785,vul,v5.19,./vul/testset/CVE-2022-2785##86f44fce##skel_internal.h_1_OLD.vul
torvalds,CVE-2022-29156,vul,v5.13,./vul/testset/CVE-2022-29156##8700af2c##rtrs-clt.c_3_OLD.vul
torvalds,CVE-2022-29581,vul,v5.1,./vul/testset/CVE-2022-29581##3db09e76##cls_u32.c_3_OLD.vul
torvalds,CVE-2022-2991,vul,v4.19,./vul/testset/CVE-2022-2991##9ea9b9c4##core.c_72_OLD.vul
torvalds,CVE-2022-30594,vul,v4.10,./vul/testset/CVE-2022-30594##ee1fee90##ptrace.c_2_OLD.vul
torvalds,CVE-2022-3077,vul,v5.18,./vul/testset/CVE-2022-3077##690b2549##i2c-ismt.c_1_OLD.vul
torvalds,CVE-2022-3107,vul,v5.6,./vul/testset/CVE-2022-3107##886e44c9##netvsc_drv.c_1_OLD.vul
torvalds,CVE-2022-3110,vul,v5.15,./vul/testset/CVE-2022-3110##f94b47c6##rtw_xmit.c_1_OLD.vul
torvalds,CVE-2022-33740,vul,v5.9,./vul/testset/CVE-2022-33740##307c8de2##xen-netfront.c_9_OLD.vul
torvalds,CVE-2022-3424,vul,v2.6.33,./vul/testset/CVE-2022-3424##643a16a0##grufault.c_1_OLD.vul;./vul/testset/CVE-2022-3424##643a16a0##grumain.c_2_OLD.vul
torvalds,CVE-2022-3424,vul,v4.10,./vul/testset/CVE-2022-3424##643a16a0##grufault.c_2_OLD.vul
torvalds,CVE-2022-3521,vul,v4.9,./vul/testset/CVE-2022-3521##ec7eede3##kcmsock.c_1_OLD.vul
torvalds,CVE-2022-3564,vul,v3.13,./vul/testset/CVE-2022-3564##3aff8aac##l2cap_core.c_15_OLD.vul
torvalds,CVE-2022-3566,vul,v3.14,./vul/testset/CVE-2022-3566##f49cd2f4##tcp.c_2_OLD.vul
torvalds,CVE-2022-3567,vul,v3.8,./vul/testset/CVE-2022-3567##364f997b##sock.c_1_OLD.vul;./vul/testset/CVE-2022-3567##364f997b##sock.c_7_OLD.vul
torvalds,CVE-2022-3577,vul,v5.6,./vul/testset/CVE-2022-3577##fc4ef9d5##hid-bigbenff.c_1_OLD.vul
torvalds,CVE-2022-3586,vul,v3.18,./vul/testset/CVE-2022-3586##9efd2329##sch_sfb.c_1_OLD.vul
torvalds,CVE-2022-3619,vul,v5.13,./vul/testset/CVE-2022-3619##7c9524d9##l2cap_core.c_18_OLD.vul
torvalds,CVE-2022-3643,vul,v5.0,./vul/testset/CVE-2022-3643##ad7f402a##netback.c_5_OLD.vul
torvalds,CVE-2022-39188,fix,v6.16,./vul/testset/CVE-2022-39188##b67fbebd##tlb.h_1_OLD.vul
torvalds,CVE-2022-42432,vul,v5.7,./vul/testset/CVE-2022-42432##559c36c5##nfnetlink_osf.c_2_OLD.vul
torvalds,CVE-2022-42703,vul,v3.19,./vul/testset/CVE-2022-42703##2555283e##rmap.c_2_OLD.vul
torvalds,CVE-2022-42703,vul,v4.14,./vul/testset/CVE-2022-42703##2555283e##rmap.c_3_OLD.vul;./vul/testset/CVE-2022-42703##2555283e##rmap.c_5_OLD.vul
torvalds,CVE-2022-42720,vul,v5.1,./vul/testset/CVE-2022-42720##0b780881##scan.c_1_OLD.vul
torvalds,CVE-2022-4378,pre,v5.2,./vul/testset/CVE-2022-4378##bce93322##sysctl.c_20_OLD.vul
torvalds,CVE-2022-4378,vul,v5.19,./vul/testset/CVE-2022-4378##bce93322##sysctl.c_12_OLD.vul;./vul/testset/CVE-2022-4378##bce93322##sysctl.c_1_OLD.vul;./vul/testset/CVE-2022-4378##bce93322##sysctl.c_20_OLD.vul
torvalds,CVE-2022-4382,pre,v4.6,./vul/testset/CVE-2022-4382##d18dcfe9##inode.c_2_OLD.vul
torvalds,CVE-2022-4382,vul,v5.10,./vul/testset/CVE-2022-4382##d18dcfe9##inode.c_2_OLD.vul;./vul/testset/CVE-2022-4382##d18dcfe9##inode.c_9_OLD.vul
torvalds,CVE-2022-4696,vul,v5.11,./vul/testset/CVE-2022-4696##44526bed##io_uring.c_15_OLD.vul;./vul/testset/CVE-2022-4696##44526bed##io_uring.c_21_OLD.vul
torvalds,CVE-2022-47941,vul,v5.16,./vul/testset/CVE-2022-47941##aa7253c2##smb2pdu.c_19_OLD.vul
torvalds,CVE-2022-47942,vul,v5.15,./vul/testset/CVE-2022-47942##8f054118##smb2pdu.c_15_OLD.vul;./vul/testset/CVE-2022-47942##8f054118##smbacl.c_4_OLD.vul;./vul/testset/CVE-2022-47942##8f054118##vfs.c_1_OLD.vul
torvalds,CVE-2022-47942,vul,v5.17,./vul/testset/CVE-2022-47942##8f054118##smb2pdu.c_10_OLD.vul;./vul/testset/CVE-2022-47942##8f054118##smbacl.c_1_OLD.vul;./vul/testset/CVE-2022-47942##8f054118##smbacl.c_2_OLD.vul
torvalds,CVE-2022-47943,vul,v5.15,./vul/testset/CVE-2022-47943##ac60778b##smb2misc.c_1_OLD.vul
torvalds,CVE-2023-0030,vul,v4.16,./vul/testset/CVE-2023-0030##729eba33##uvmm.c_1_OLD.vul;./vul/testset/CVE-2023-0030##729eba33##vmm.c_10_OLD.vul;./vul/testset/CVE-2023-0030##729eba33##vmm.c_1_OLD.vul;./vul/testset/CVE-2023-0030##729eba33##vmm.c_2_OLD.vul;./vul/testset/CVE-2023-0030##729eba33##vmm.c_6_OLD.vul
torvalds,CVE-2023-1073,vul,v6.1,./vul/testset/CVE-2023-1073##b12fece4##hid-core.c_5_OLD.vul
torvalds,CVE-2023-1206,vul,v3.13,./vul/testset/CVE-2023-1206##d11b0df7##ipv6.h_1_OLD.vul
torvalds,CVE-2023-1252,vul,v5.8,./vul/testset/CVE-2023-1252##9a254403##file.c_16_OLD.vul
torvalds,CVE-2023-1989,vul,v2.6.24,./vul/testset/CVE-2023-1989##1e9ac114##btsdio.c_1_OLD.vul
torvalds,CVE-2023-1998,vul,v5.19,./vul/testset/CVE-2023-1998##6921ed90##bugs.c_6_OLD.vul
torvalds,CVE-2023-1998,vul,v6.0,./vul/testset/CVE-2023-1998##6921ed90##bugs.c_18_OLD.vul;./vul/testset/CVE-2023-1998##6921ed90##bugs.c_8_OLD.vul
torvalds,CVE-2023-2006,vul,v5.16,./vul/testset/CVE-2023-2006##3bcd6c7e##conn_client.c_1_OLD.vul;./vul/testset/CVE-2023-2006##3bcd6c7e##conn_client.c_2_OLD.vul;./vul/testset/CVE-2023-2006##3bcd6c7e##conn_client.c_6_OLD.vul
torvalds,CVE-2023-2008,vul,v4.20,./vul/testset/CVE-2023-2008##05b252cc##udmabuf.c_1_OLD.vul
