repo,cve,type,version
linux,CVE-2022-1204,vul,v2.6.12
linux,CVE-2022-1204,vul,v4.2
linux,CVE-2022-1263,fix,v6.13
linux,CVE-2022-1263,vul,v5.11
linux,CVE-2022-1353,vul,v2.6.12
linux,CVE-2022-1353,vul,v2.6.39
linux,CVE-2022-1419,vul,v4.13
linux,CVE-2022-1508,vul,v5.11
linux,CVE-2022-1508,vul,v5.12
linux,CVE-2022-1652,vul,v4.5
linux,CVE-2022-1679,fix,v6.8
linux,CVE-2022-1679,fix,v6.9
linux,CVE-2022-1679,vul,v2.6.35
linux,CVE-2022-1679,vul,v2.6.38
linux,CVE-2022-1852,vul,v5.12
linux,CVE-2022-1852,vul,v5.17
linux,CVE-2022-1998,vul,v5.15
linux,CVE-2022-20132,vul,v4.17
linux,CVE-2022-20422,vul,v3.19
linux,CVE-2022-20422,vul,v4.18
linux,CVE-2022-20565,vul,v3.5
linux,CVE-2022-21123,vul,v4.17
linux,CVE-2022-21385,vul,v4.1
linux,CVE-2022-2196,fix,v6.16
linux,CVE-2022-2196,vul,v5.14
linux,CVE-2022-2196,vul,v5.8
linux,CVE-2022-22942,vul,v4.14
linux,CVE-2022-22942,vul,v5.2
linux,CVE-2022-23039,vul,v2.6.39
linux,CVE-2022-23039,vul,v3.17
linux,CVE-2022-24958,vul,v4.10
linux,CVE-2022-2588,vul,v3.18
linux,CVE-2022-28388,vul,v3.9
linux,CVE-2022-28388,vul,v5.11
linux,CVE-2022-28389,vul,v4.12
linux,CVE-2022-28389,vul,v5.11
linux,CVE-2022-28390,vul,v2.6.32
linux,CVE-2022-28390,vul,v4.5
linux,CVE-2022-29156,vul,v5.12
linux,CVE-2022-29156,vul,v5.13
linux,CVE-2022-2991,vul,v4.19
linux,CVE-2022-30594,pre,v3.17
linux,CVE-2022-30594,vul,v4.10
linux,CVE-2022-30594,vul,v4.3
linux,CVE-2022-3104,vul,v5.7
linux,CVE-2022-3104,vul,v5.9
linux,CVE-2022-33740,vul,v5.9
linux,CVE-2022-33743,vul,v5.16
linux,CVE-2022-33743,vul,v5.9
linux,CVE-2022-3564,vul,v3.13
linux,CVE-2022-3564,vul,v3.6
linux,CVE-2022-3565,vul,v2.6.27
linux,CVE-2022-3565,vul,v2.6.39
linux,CVE-2022-3586,vul,v2.6.39
linux,CVE-2022-3586,vul,v3.18
linux,CVE-2022-3621,vul,v2.6.30
linux,CVE-2022-3621,vul,v3.2
linux,CVE-2022-36280,vul,v3.2
linux,CVE-2022-36280,vul,v4.3
linux,CVE-2022-3643,pre,v3.17
linux,CVE-2022-3643,vul,v3.19
linux,CVE-2022-3643,vul,v5.0
linux,CVE-2022-40982,vul,v5.3
linux,CVE-2022-42703,vul,v3.19
linux,CVE-2022-42703,vul,v4.14
linux,CVE-2022-42720,vul,v5.1
linux,CVE-2022-42720,vul,v5.11
linux,CVE-2022-42722,vul,v5.16
linux,CVE-2022-42722,vul,v5.8
linux,CVE-2022-42896,vul,v4.20
linux,CVE-2022-4378,pre,v5.2
linux,CVE-2022-4378,vul,v5.19
linux,CVE-2022-4378,vul,v5.8
linux,CVE-2022-45869,pre,v5.10
linux,CVE-2022-45869,vul,v5.12
linux,CVE-2022-45869,vul,v5.16
linux,CVE-2022-45934,vul,v3.8
linux,CVE-2022-47942,vul,v5.15
linux,CVE-2022-47942,vul,v5.17
