vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,CWE,vuln_type,judgement
CVE-2015-8894,ImageMagick/ImageMagick,4f68e9661518463fca523c9726bb5d940a2aa6d8,coders/tga.c,ReadTGAImage,coders/wpg.c,ReadWPGImage,Unknown,Unknown,
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,MagickCore/transform.c,SpliceImage,MagickCore/transform.c,ChopImage,Unknown,Unknown,FP
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,MagickCore/transform.c,SpliceImage,MagickCore/statistic.c,EvaluateImages,Unknown,Unknown,
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,MagickCore/transform.c,SpliceImage,MagickCore/effect.c,UnsharpMaskImage,Unknown,Unknown,
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,MagickCore/transform.c,SpliceImage,MagickCore/effect.c,MotionBlurImage,Unknown,Unknown,
CVE-2016-10049,ImageMagick/ImageMagick,13db820f5e24cd993ee554e99377fea02a904e18,coders/rle.c,ReadRLEImage,coders/pict.c,ReadPICTImage,Unknown,Unknown,
CVE-2016-10050,ImageMagick/ImageMagick,139d4323c40d7363bfdd2382c3821a6f76d69430,coders/rle.c,ReadRLEImage,coders/mac.c,ReadMACImage,Unknown,Unknown,
CVE-2016-10052,ImageMagick/ImageMagick,13267a10845a8dadabed63072b537f050cec6daa,coders/jpeg.c,WriteProfile,coders/heic.c,WriteProfile,Unknown,Unknown,
CVE-2016-10060,ImageMagick/ImageMagick,933e96f01a8c889c7bf5ffd30020e86a02a046e7,MagickWand/magick-cli.c,ConcatenateImages,www/source/mgk.c,WriteMGKImage,Unknown,Unknown,
CVE-2016-10063,ImageMagick/ImageMagick,94936efda8aa63563211eda07a5ade92abb32f7a,coders/tiff.c,ReadTIFFImage,coders/viff.c,ReadVIFFImage,Unknown,Unknown,
CVE-2016-10064,ImageMagick/ImageMagick,63302366a63602acbaad5c8223a105811b2adddd,coders/tiff.c,ReadTIFFImage,coders/ps2.c,WritePS2Image,Unknown,Unknown,
CVE-2016-10064,ImageMagick/ImageMagick,63302366a63602acbaad5c8223a105811b2adddd,coders/tiff.c,ReadTIFFImage,coders/pdf.c,WritePDFImage,Unknown,Unknown,
CVE-2016-10064,ImageMagick/ImageMagick,63302366a63602acbaad5c8223a105811b2adddd,coders/tiff.c,ReadTIFFImage,coders/uil.c,WriteUILImage,Unknown,Unknown,
CVE-2016-10070,ImageMagick/ImageMagick,a6240a163cb787909703d9fc649cf861f60ddd7c,coders/mat.c,ReadMATImage,coders/mat.c,ReadMATImage,Unknown,Unknown,
CVE-2016-5841,ImageMagick/ImageMagick,d8ab7f046587f2e9f734b687ba7e6e10147c294b,MagickCore/profile.c,ReadResourceShort,coders/dcm.c,ReadDCMImage,Unknown,Unknown,
CVE-2016-6491,ImageMagick/ImageMagick,dd84447b63a71fa8c3f47071b09454efc667767b,MagickCore/property.c,Get8BIMProperty,MagickCore/profile.c,UpdateClipPath,Unknown,Unknown,
CVE-2016-6491,ImageMagick/ImageMagick,dd84447b63a71fa8c3f47071b09454efc667767b,MagickCore/property.c,Get8BIMProperty,MagickCore/property.c,TraceSVGClippath,Unknown,Unknown,
CVE-2016-6491,ImageMagick/ImageMagick,dd84447b63a71fa8c3f47071b09454efc667767b,MagickCore/property.c,Get8BIMProperty,MagickCore/property.c,TracePSClippath,Unknown,Unknown,
CVE-2016-7520,ImageMagick/ImageMagick,14e606db148d6ebcaae20f1e1d6d71903ca4a556,coders/hdr.c,WriteHDRImage,coders/djvu.c,get_page_image,Unknown,Unknown,TP
CVE-2016-7521,ImageMagick/ImageMagick,30eec879c8b446b0ea9a3bb0da1a441cc8482bc4,coders/psd.c,DecodePSDPixels,coders/pict.c,UnpackScanline,Unknown,Unknown,
CVE-2016-7524,ImageMagick/ImageMagick,f8c318d462270b03e77f082e2a3a32867cacd3c6,coders/meta.c,parse8BIM,coders/meta.c,parse8BIMW,Unknown,Unknown,FP
CVE-2016-7525,ImageMagick/ImageMagick,5f16640725b1225e6337c62526e6577f0f88edb8,coders/psd.c,GetPSDRowSize,coders/jbig.c,WriteJBIGImage,Unknown,Unknown,
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,coders/wpg.c,InsertRow,coders/viff.c,ReadVIFFImage,Unknown,Unknown,TP
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,coders/wpg.c,ReadWPGImage,coders/mat.c,ReadMATImage,Unknown,Unknown,
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,coders/wpg.c,InsertRow,coders/icon.c,ReadICONImage,Unknown,Unknown,
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,coders/wpg.c,InsertRow,coders/tim.c,ReadTIMImage,Unknown,Unknown,
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,coders/wpg.c,InsertRow,coders/tim2.c,ReadTIM2ImageData,Unknown,Unknown,
CVE-2016-7528,ImageMagick/ImageMagick,7be16a280014f895a951db4948df316a23dabc09,coders/viff.c,ReadVIFFImage,coders/sgi.c,ReadSGIImage,Unknown,Unknown,
CVE-2016-7530,ImageMagick/ImageMagick,c4e63ad30bc42da691f2b5f82a24516dd6b4dc70,MagickCore/quantum.c,GetQuantumExtent,coders/miff.c,WriteMIFFImage,Unknown,Unknown,
CVE-2016-7530,ImageMagick/ImageMagick,c4e63ad30bc42da691f2b5f82a24516dd6b4dc70,MagickCore/quantum.c,GetQuantumExtent,coders/miff.c,ReadMIFFImage,Unknown,Unknown,
CVE-2016-7533,ImageMagick/ImageMagick,bef1e4f637d8f665bc133a9c6d30df08d983bc3a,coders/wpg.c,ReadWPGImage,coders/wpg.c,UnpackWPGRaster,Unknown,Unknown,TP
CVE-2016-7533,ImageMagick/ImageMagick,bef1e4f637d8f665bc133a9c6d30df08d983bc3a,coders/wpg.c,ReadWPGImage,coders/wpg.c,UnpackWPG2Raster,Unknown,Unknown,
CVE-2016-9298,ImageMagick/ImageMagick,3cbfb163cff9e5b8cdeace8312e9bfee810ed02b,MagickCore/fx.c,WaveletDenoiseImage,MagickCore/attribute.c,FloydSteinbergImageDepth,Unknown,Unknown,
CVE-2017-11448,ImageMagick/ImageMagick,f6463ca9588579633bbaed9460899d892aa3c64a,coders/jpeg.c,ReadJPEGImage,coders/avs.c,ReadAVSImage,Unknown,Unknown,FP
CVE-2017-11522,ImageMagick/ImageMagick,816ecab6c532ae086ff4186b3eaf4aa7092d536f,coders/png.c,WriteOnePNGImage,coders/png.c,WriteOnePNGImage,Unknown,Unknown,
CVE-2017-11522,ImageMagick/ImageMagick,816ecab6c532ae086ff4186b3eaf4aa7092d536f,coders/png.c,WriteOnePNGImage,coders/magick.c,WriteMAGICKImage,Unknown,Unknown,
CVE-2017-12427,ImageMagick/ImageMagick,e793eb203e5e0f91f5037aed6585e81b1e27395b,coders/msl.c,ProcessMSLScript,coders/msl.c,ProcessMSLScript,Unknown,Unknown,
CVE-2017-12427,ImageMagick/ImageMagick,e793eb203e5e0f91f5037aed6585e81b1e27395b,coders/msl.c,ProcessMSLScript,coders/tiff.c,TIFFWritePhotoshopLayers,Unknown,Unknown,
CVE-2017-12662,ImageMagick/ImageMagick,bd40cc5f53067322861b881485cbd70f509f3829,coders/pdf.c,WritePDFImage,coders/pdf.c,WritePDFImage,Unknown,Unknown,
CVE-2017-12663,ImageMagick/ImageMagick,1dc0ac5016f1c4d50b100a086526d6a2453a5444,coders/map.c,WriteMAPImage,coders/miff.c,WriteMIFFImage,Unknown,Unknown,FP
CVE-2017-12663,ImageMagick/ImageMagick,1dc0ac5016f1c4d50b100a086526d6a2453a5444,coders/map.c,WriteMAPImage,coders/miff.c,ReadMIFFImage,Unknown,Unknown,
CVE-2017-12664,ImageMagick/ImageMagick,0417cea1b6d72f90bd4f1f573f91e42a8ba66a89,MagickCore/quantize.c,SetGrayscaleImage,MagickCore/segment.c,Classify,Unknown,Unknown,
CVE-2017-12664,ImageMagick/ImageMagick,0417cea1b6d72f90bd4f1f573f91e42a8ba66a89,coders/palm.c,WritePALMImage,coders/miff.c,WriteMIFFImage,Unknown,Unknown,TP
CVE-2017-12665,ImageMagick/ImageMagick,c1b09bbec148f6ae11d0b686fdb89ac6dc0ab14e,coders/pict.c,WritePICTImage,coders/pdb.c,WritePDBImage,Unknown,Unknown,
CVE-2017-12668,ImageMagick/ImageMagick,2ba8f335fa06daf1165e0878462686028e633a74,coders/pcx.c,WritePCXImage,coders/rle.c,ReadRLEImage,Unknown,Unknown,
CVE-2017-13146,ImageMagick/ImageMagick,79e5dbcdd1fc2f714f9bae548bc55d5073f3ed20,coders/mat.c,ReadMATImage,coders/png.c,WriteOnePNGImage,Unknown,Unknown,
CVE-2017-14173,ImageMagick/ImageMagick,50f54462076648ac2e36c3f58f4dadd4babbf1c9,coders/txt.c,ReadTXTImage,coders/txt.c,ReadTXTImage,Unknown,Unknown,FP
CVE-2017-14174,ImageMagick/ImageMagick,04a567494786d5bb50894fc8bb8fea0cf496bea8,coders/psd.c,ReadPSDLayersInternal,coders/png.c,ReadOneJNGImage,Unknown,Unknown,
CVE-2017-14174,ImageMagick/ImageMagick,04a567494786d5bb50894fc8bb8fea0cf496bea8,coders/psd.c,ReadPSDLayersInternal,coders/xcf.c,ReadBlobStringWithLongSize,Unknown,Unknown,
CVE-2017-14174,ImageMagick/ImageMagick,04a567494786d5bb50894fc8bb8fea0cf496bea8,coders/psd.c,ReadPSDLayersInternal,coders/pict.c,ReadPICTImage,Unknown,Unknown,
CVE-2017-14175,ImageMagick/ImageMagick,d9a8234d211da30baf9526fbebe9a8438ea7e11c,coders/xbm.c,XBMInteger,coders/pnm.c,PNMInteger,Unknown,Unknown,TP
CVE-2017-14175,ImageMagick/ImageMagick,d9a8234d211da30baf9526fbebe9a8438ea7e11c,coders/xbm.c,ReadXBMImage,coders/tim.c,ReadTIMImage,Unknown,Unknown,
CVE-2017-14175,ImageMagick/ImageMagick,d9a8234d211da30baf9526fbebe9a8438ea7e11c,coders/xbm.c,ReadXBMImage,coders/pcd.c,ReadPCDImage,Unknown,Unknown,
