cveid,vul_file,vul_line,vul_func,pat_file,pat_line,pat_func,tar_file,tar_line,tar_func
radareorg_radare2/CVE-2022-0523_35482cb7,marshal.c,537,get_tuple_object,,,,/home/cyf/repo_dataset/radareorg/radare2/shlr/zip/zip/zip_memdup.c,41,_zip_memdup
radareorg_radare2/CVE-2022-1240_ca8d8b39,mach0.c,3154,parse_relocation_info,mach0.c,3154,parse_relocation_info,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/addrline.c,83,r_bin_addrline_tostring
radareorg_radare2/CVE-2017-15368_52b15264,,,,wasm.c,416,wasm_dis,/home/cyf/repo_dataset/radareorg/radare2/libr/arch/p/wasm/plugin.c,356,wasm_decode
radareorg_radare2/CVE-2018-20461_a1bc65c3,,,,cmd_anal.c,1329,core_anal_bytes,/home/cyf/repo_dataset/radareorg/radare2/libr/core/cmd_print.inc.c,3611,disasm_strings
radareorg_radare2/CVE-2022-1283_18d1d064,ne.c,109,r_bin_ne_get_symbols,ne.c,109,r_bin_ne_get_symbols,/home/cyf/repo_dataset/radareorg/radare2/shlr/java/class.c,2938,r_bin_java_get_symbols
radareorg_radare2/CVE-2017-10929_c57997e7,disk.c,408,grub_disk_read,disk.c,408,grub_disk_read,/home/cyf/repo_dataset/radareorg/radare2/shlr/grub/fs/affs.c,163,grub_affs_mount
radareorg_radare2/CVE-2022-1437_669a404b,,,,bin_symbols.c,355,symbols,/home/cyf/repo_dataset/radareorg/radare2/libr/fs/p/fs_io.c,94,fs_io_dir
radareorg_radare2/CVE-2023-4322_ba919adb,plugin.c,15,getid,plugin.c,15,getid,/home/cyf/repo_dataset/radareorg/radare2/libr/util/str.c,269,r_str_delta
radareorg_radare2/CVE-2023-47016_40c9f50e,bin_xnu_kernelcache.c,960,process_constructors,bin_xnu_kernelcache.c,960,process_constructors,/home/cyf/repo_dataset/radareorg/radare2/libr/bin/p/bin_elf.inc.c,158,process_constructors
rizinorg_rizin/CVE-2021-43814_aa691777,dwarf.c,1219,init_die,dwarf.c,1219,init_die,/home/cyf/repo_dataset/rizinorg/rizin/librz/arch/isa/tms320/c55x_plus/hashtable.c,1199,get_hashfunc_42
rizinorg_rizin/CVE-2022-36044_05bbd147,,,,luac_bin.c,119,luac_build_info,/home/cyf/repo_dataset/rizinorg/rizin/librz/arch/isa/mips/mips_assembler.c,639,mips_assemble_opcode
rizinorg_rizin/CVE-2022-36039_1524f852,,,,dex.c,906,dex_resolve_library,/home/cyf/repo_dataset/rizinorg/rizin/subprojects/packagefiles/zydis/amalgamated-dist/Zydis.c,37961,ZydisRegisterGetString
rizinorg_rizin/CVE-2023-27590_d6196703,debug_gdb.c,133,rz_debug_gdb_map_get,,,,/home/cyf/repo_dataset/rizinorg/rizin/librz/debug/p/native/android_arm.c,396,rz_debug_native_map_get
